鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
安南區,房地(土地+建物)+車位,臺南市安南區海中街130巷,80.78,住,,,1150111,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,149.42,3,2,2,有,無,14180000,94900,一樓平面,0.0,0,,RPPNMLLKJHLGFBD17CB,幾何學,A棟9號,
新化區,房地(土地+建物),臺南市新化區唪口68號旁,22.99,,鄉村區,乙種建築用地,1150111,土地3建物1車位0,三層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,73.73,2,2,1,有,無,5890000,79886,,0.0,0,,RPPNMLMKJHLGFHD87CB,永鄰6,3F-D號,
永康區,房地(土地+建物)+車位,臺南市永康區復國路,25.36,住,,,1150111,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.19,3,2,2,有,無,18160000,125010,坡道平面,44.52,3200000,,RPPNMLMKJHLGFKD18CB,春福平蒔都匯區,A棟1號,
安南區,房地(土地+建物)+車位,臺南市安南區安中路四段211巷附近,28.7,住,,,1150113,土地4建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.67,3,2,2,有,無,7910000,81677,一樓平面,14.19,1500000,,RPRNMLOKJHLGFBD67CB,合恆 寓紳鄰-曙光,C棟1號,
新化區,房地(土地+建物),臺南市新化區正新路312號後方,33.91,住,,,1150111,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.84,2,2,2,有,無,7000000,91098,,0.0,0,,RPPNMLOKJHLGFHD08CB,協奏曲3期,A棟A1號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路205巷,86.16,住,,,1150111,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,197.98,4,2,4,有,無,22600000,114153,一樓平面,13.75,0,交易總價包含非建物之坐落土地，台南市仁德區中清段377-6地號，價格8萬。,RPRNMLOKJHLGFID38CB,森樂章,A棟11號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,18.83,商,,,1150111,土地2建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.23,3,2,2,有,無,27140000,178021,坡道平面,25.73,1950000,,RPRNMLQKJHLGFCD97CB,國城?實,E棟5號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,18.83,商,,,1150111,土地2建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.23,3,2,2,有,無,27100000,178445,坡道平面,25.73,1850000,,RPSNMLQKJHLGFCD08CB,國城?實,E棟5號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區西埔二街70巷1號旁,36.74,,鄉村區,乙種建築用地,1150113,土地2建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.84,2,2,2,有,無,7960000,87700,一樓平面,14.32,1600000,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQKJHLGFID38CB,初居3,E棟E1/6F號,
